date,high temp,low temp,precip,snow
1-Jan-14,42.1,19.9,0,-
2-Jan-14,51.1,19,0.26,-
3-Jan-14,45,12.9,0.18,0.51
4-Jan-14,28.9,12,0,-
5-Jan-14,48,26.1,0,-
6-Jan-14,54,9,0.4,-
7-Jan-14,9,-2.9,0,-
8-Jan-14,16,-2.9,0,-
9-Jan-14,39,10,0,-
10-Jan-14,50,28,0.02,-
11-Jan-14,57,46.9,1.06,-
12-Jan-14,55.9,28,0,-
13-Jan-14,57,28,0,-
14-Jan-14,50,37.9,1.15,-
15-Jan-14,55,30.9,0.02,-
16-Jan-14,36,16,0,-
17-Jan-14,46,17.1,0,-
18-Jan-14,37,15.1,T,T
19-Jan-14,42.1,15.1,0,-
20-Jan-14,45,27,0,-
21-Jan-14,59,27,0,-
22-Jan-14,36,5,0.03,0.98
23-Jan-14,23,5,0,-
24-Jan-14,18,0,0,-
25-Jan-14,27,0,T,0
26-Jan-14,41,16,T,T
27-Jan-14,57,16,0,-
28-Jan-14,30.9,12.9,0,-
29-Jan-14,17.1,0,0,-
30-Jan-14,26.1,1,0,-
31-Jan-14,44.1,3,0,-
1-Feb-14,48.9,23,0,-
2-Feb-14,62.1,28,0,-
3-Feb-14,54,30.9,1.96,-
4-Feb-14,34,30.9,0,-
5-Feb-14,52,33.1,0.81,-
6-Feb-14,37.9,25,0,-
7-Feb-14,28.9,21.9,0,-
8-Feb-14,30.9,21,0,-
9-Feb-14,39.9,28,0.02,-
10-Feb-14,39,28.9,0,-
11-Feb-14,33.1,19,0,-
12-Feb-14,39,19,0,-
13-Feb-14,45,27,0.06,0
14-Feb-14,48,25,0,-
15-Feb-14,54,19.9,0.36,T
16-Feb-14,33.1,19,0,-
17-Feb-14,53.1,26.1,0,-
18-Feb-14,63,27,0.12,-
19-Feb-14,64,27,0.06,-
20-Feb-14,66,44.1,0,-
21-Feb-14,73,37,1.81,-
22-Feb-14,53.1,27,0,-
23-Feb-14,66.9,27,0,-
24-Feb-14,66.9,28,0,-
25-Feb-14,46.9,28,0,-
26-Feb-14,46,25,0,-
27-Feb-14,35.1,12.9,0,-
28-Feb-14,41,14,0,-
1-Mar-14,55.9,18,0.01,-
2-Mar-14,57.9,44.1,0,-
3-Mar-14,66.9,24.1,1.6,-
4-Mar-14,25,19.9,0.2,0.12
5-Mar-14,37.9,21,0,-
6-Mar-14,46,27,0,-
7-Mar-14,55,27,0,-
8-Mar-14,62.1,27,0,-
9-Mar-14,64.9,30.9,0,-
10-Mar-14,57.9,30.9,0,-
11-Mar-14,68,34,0,-
12-Mar-14,75,34,0.13,-
13-Mar-14,62.1,28.9,0,-
14-Mar-14,46.9,28,0,-
15-Mar-14,64,28,0,-
16-Mar-14,66,34,0.11,-
17-Mar-14,52,30.9,0.65,-
18-Mar-14,39,30,0.01,-
19-Mar-14,55.9,39,0,-
20-Mar-14,59,30,0,-
21-Mar-14,59,28,0,-
22-Mar-14,68,28.9,0,-
23-Mar-14,66,39.9,0.12,-
24-Mar-14,53.1,25,0,-
25-Mar-14,52,25,0,-
26-Mar-14,39,18,0.01,0
27-Mar-14,46.9,19,0,-
28-Mar-14,66,39.9,0.32,-
29-Mar-14,64.9,46.9,0.27,-
30-Mar-14,55.9,37.9,1.03,-
31-Mar-14,57.9,28.9,0,-
1-Apr-14,73,28.9,T,-
2-Apr-14,80.1,44.1,0,-
3-Apr-14,80.1,46.9,1.25,-
4-Apr-14,79,48.9,0.32,-
5-Apr-14,64.9,41,0.39,-
6-Apr-14,55.9,34,0,-
7-Apr-14,66.9,35.1,0.51,-
8-Apr-14,66,37.9,0.08,-
9-Apr-14,61,37.9,0,-
10-Apr-14,64,35.1,0,-
11-Apr-14,75,35.1,0,-
12-Apr-14,75.9,46.9,0.33,-
13-Apr-14,80.1,46.9,0,-
14-Apr-14,82,53.1,0,-
15-Apr-14,69.1,35.1,0.54,-
16-Apr-14,45,27,0.08,-
17-Apr-14,63,28,0,-
18-Apr-14,68,36,0,-
19-Apr-14,66.9,43,0,-
20-Apr-14,73.9,39.9,0,-
21-Apr-14,78.1,41,0,-
22-Apr-14,78.1,45,T,-
23-Apr-14,73.9,39,0.02,-
24-Apr-14,68,39,0,-
25-Apr-14,79,39.9,0.32,-
26-Apr-14,68,41,0.23,-
27-Apr-14,81,42.1,0,-
28-Apr-14,81,50,0.13,-
29-Apr-14,75,61,1.35,-
30-Apr-14,82,54,1.03,-
1-May-14,68,48,0.18,-
2-May-14,63,39,0,-
3-May-14,66,39,0,-
4-May-14,73.9,42.1,0,-
5-May-14,82.9,46.9,0,-
6-May-14,84,50,0,-
7-May-14,84,50,0,-
8-May-14,84.9,52,0,-
9-May-14,84,57,0,-
10-May-14,73.9,61,0.02,-
11-May-14,79,55,0.03,-
12-May-14,84,57.9,0,-
13-May-14,87.1,60.1,0,-
14-May-14,84.9,62.1,0,-
15-May-14,80.1,51.1,0.76,-
16-May-14,57.9,41,0.03,-
17-May-14,60.1,43,0.1,-
18-May-14,60.1,46.9,0.01,-
19-May-14,70,42.1,0,-
20-May-14,75.9,44.1,0,-
21-May-14,82,54,0,-
22-May-14,82.9,57,0,-
23-May-14,84,60.1,0,-
24-May-14,82,55,0,-
25-May-14,81,55.9,0,-
26-May-14,79,57.9,0.31,-
27-May-14,84,61,0,-
28-May-14,84.9,63,0,-
29-May-14,84.9,63,0.02,-
30-May-14,84,61,0.15,-
31-May-14,84,64,0.27,-
1-Jun-14,84,64,0.07,-
2-Jun-14,82,66,0,-
3-Jun-14,82,62.1,0,-
4-Jun-14,84,62.1,0,-
5-Jun-14,84,63,0.45,-
6-Jun-14,71.1,66,0.22,-
7-Jun-14,82,61,0.01,-
8-Jun-14,84.9,63,0.03,-
9-Jun-14,79,59,0,-
10-Jun-14,73.9,61,0.2,-
11-Jun-14,82.9,64.9,0.95,-
12-Jun-14,79,61,0.12,-
13-Jun-14,80.1,63,0.46,-
14-Jun-14,73,55.9,1.3,-
15-Jun-14,81,57,0,-
16-Jun-14,87.1,59,0,-
17-Jun-14,89.1,62.1,0,-
18-Jun-14,89.1,63,0,-
19-Jun-14,89.1,66.9,0,-
20-Jun-14,86,66,0.02,-
21-Jun-14,89.1,64.9,0.02,-
22-Jun-14,86,62.1,0.29,-
23-Jun-14,89.1,64.9,0,-
24-Jun-14,89.1,66.9,0,-
25-Jun-14,82.9,70,0.42,-
26-Jun-14,84,64,0,-
27-Jun-14,84,66,0,-
28-Jun-14,86,66.9,0.05,-
29-Jun-14,81,66,0.18,-
30-Jun-14,79,66,0.33,-
1-Jul-14,88,69.1,0.01,-
2-Jul-14,88,64,0,-
3-Jul-14,84.9,64.9,0,-
4-Jul-14,78.1,57,0,-
5-Jul-14,79,52,0,-
6-Jul-14,84.9,55,0,-
7-Jul-14,86,60.1,0,-
8-Jul-14,87.1,64,0,-
9-Jul-14,87.1,69.1,0.39,-
10-Jul-14,80.1,66.9,0.02,-
11-Jul-14,84.9,61,0,-
12-Jul-14,90,61,0,-
13-Jul-14,91,62.1,0,-
14-Jul-14,90,66,0,-
15-Jul-14,90,69.1,0.3,-
16-Jul-14,79,53.1,0.02,-
17-Jul-14,75.9,52,0,-
18-Jul-14,81,53.1,0.04,-
19-Jul-14,68,62.1,1.01,-
20-Jul-14,73,64.9,0.69,-
21-Jul-14,82.9,66,0.05,-
22-Jul-14,86,62.1,0.61,-
23-Jul-14,88,66.9,0,-
24-Jul-14,86,68,0.05,-
25-Jul-14,81,57,0,-
26-Jul-14,81,59,0,-
27-Jul-14,86,60.1,0.02,-
28-Jul-14,89.1,64,0.56,-
29-Jul-14,79,57,0,-
30-Jul-14,73.9,52,0,-
31-Jul-14,78.1,53.1,0,-
1-Aug-14,84,57.9,0,-
2-Aug-14,84,62.1,0,-
3-Aug-14,84.9,60.1,0,-
4-Aug-14,84.9,57,0,-
5-Aug-14,87.1,57,0,-
6-Aug-14,87.1,59,0,-
7-Aug-14,88,63,0.01,-
8-Aug-14,91,63,0.07,-
9-Aug-14,82.9,66.9,0.19,-
